batter,season,runs,balls_faced,dots,fours,sixes,singles,outs,strike_rate,average
Ravi Bishnoi,2021,1,5,3,0,0,1,1,20.0,1.0
Ravi Bishnoi,2022,0,1,1,0,0,0,0,0.0,
Ravi Bishnoi,2023,20,28,13,1,0,9,3,71.42857142857143,6.666666666666667
Ravi Bishnoi,2024,4,6,2,0,0,4,2,66.66666666666666,2.0
Ravi Bishnoi,2025,13,16,13,0,2,1,2,81.25,6.5
Ravi Bishnoi,2026,0,3,3,0,0,0,2,0.0,0.0
Ravi Singh,2026,4,2,1,1,0,0,1,200.0,4.0
S Anirudha,2007/08,1,8,5,0,0,1,1,12.5,1.0
S Anirudha,2009/10,30,19,5,2,2,6,1,157.89473684210526,30.0
S Anirudha,2011,83,78,27,6,3,31,4,106.41025641025641,20.75
S Anirudha,2012,19,9,0,1,2,3,0,211.11111111111111,inf
S Anirudha,2013,0,2,2,0,0,0,1,0.0,0.0
S Anirudha,2014,3,5,2,0,0,3,1,60.0,3.0
S Aravind,2011,13,10,1,2,0,5,0,130.0,inf
S Aravind,2012,14,8,3,3,0,2,0,175.0,inf
S Aravind,2015,0,1,1,0,0,0,0,0.0,
S Aravind,2017,32,40,16,2,0,14,3,80.0,10.666666666666666
S Arora,2026,121,81,28,9,9,29,7,149.3827160493827,17.285714285714285
S Badree,2017,13,25,12,0,0,9,5,52.0,2.6
S Badrinath,2007/08,192,138,49,21,8,41,6,139.1304347826087,32.0
S Badrinath,2009,177,166,72,20,4,55,9,106.62650602409639,19.666666666666668
S Badrinath,2009/10,356,310,100,41,5,126,12,114.83870967741936,29.666666666666668
S Badrinath,2011,396,320,95,38,9,140,6,123.75,66.0
S Badrinath,2012,196,188,74,23,2,70,8,104.25531914893618,24.5
S Badrinath,2013,124,123,41,11,0,52,7,100.8130081300813,17.714285714285715
S Chanderpaul,2007/08,25,33,18,4,0,9,3,75.75757575757575,8.333333333333334
S Dhawan,2007/08,340,308,114,35,8,111,10,110.3896103896104,34.0
S Dhawan,2009,40,46,18,3,0,20,4,86.95652173913044,10.0
S Dhawan,2009/10,191,180,74,23,3,57,10,106.11111111111111,19.1
S Dhawan,2011,400,315,98,47,7,135,12,126.98412698412697,33.333333333333336
